stamp,mode,armed,system_status,is_armable,fix_type,sats,lat,lon,alt_msl,alt_rel,roll,pitch,yaw,vx,vy,vz,groundspeed,airspeed,heading,rngf_dist,batt_voltage,batt_current,batt_level,last_hb,ekf_ok
1757118022.1714544,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008943778811953962,-0.0011290363036096096,-0.11540696024894714,0.01,-0.01,0.0,0.020570974797010422,0.020570985972881317,353,,12.6,0.0,100,0.23609904799991455,True
1757118022.273167,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008939148974604905,-0.0011323486687615514,-0.11549951136112213,0.01,-0.01,0.0,0.020671170204877853,0.020671196281909943,353,,12.6,0.0,100,0.3592160690000128,True
1757118022.3741012,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008939148974604905,-0.0011323486687615514,-0.11549951136112213,0.01,-0.01,0.0,0.020671170204877853,0.020671196281909943,353,,12.6,0.0,100,0.45964536599990424,True
1757118022.4750416,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008949744515120983,-0.0011378885246813297,-0.11559049040079117,0.01,-0.01,0.0,0.02078980952501297,0.020790189504623413,353,,12.6,0.0,100,0.5546803859999727,True
1757118022.5760462,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008949744515120983,-0.0011378885246813297,-0.11559049040079117,0.01,-0.01,0.0,0.02078980952501297,0.020790189504623413,353,,12.6,0.0,100,0.65508470199984,True
1757118022.6767545,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008949744515120983,-0.0011378885246813297,-0.11559049040079117,0.01,-0.01,0.0,0.02078980952501297,0.020790189504623413,353,,12.6,0.0,100,0.7555454989999362,True
1757118022.7776716,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008980031707324088,-0.001145447720773518,-0.11568815261125565,0.01,-0.01,0.0,0.02052244171500206,0.020522557199001312,353,,12.6,0.0,100,0.8524426599999515,True
1757118022.8786047,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008980031707324088,-0.001145447720773518,-0.11568815261125565,0.01,-0.01,0.0,0.02052244171500206,0.020522557199001312,353,,12.6,0.0,100,0.9531849529998908,True
1757118022.9795682,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009096936555579305,-0.0011514113284647465,-0.11578625440597534,0.01,-0.01,0.0,0.020629653707146645,0.02062969282269478,353,,12.6,0.0,100,0.05210298299994065,True
1757118023.0805016,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009096936555579305,-0.0011514113284647465,-0.11578625440597534,0.01,-0.01,0.0,0.020629653707146645,0.02062969282269478,353,,12.6,0.0,100,0.15257937599994875,True
